Author	n (strains)	publication title	journal	publication URL	strains
Si,H., Zhu,Y., Lin,H., Xie,S., Shi,Z., Zhou,P.	1	unknown	unknown	unknown	MT259229/CHN/Wuhan_YB012602/2020-01-26
Malta,F., Amgarten,D., de Oliveira,D.B.L., Araujo,D.B., Machado,R.R.G., Santana,R.A.F., Mangueira,C.L.P., Durigon,E.L., Pinho,J.R.R.	1	unknown	unknown	unknown	MT350282/BRA/SP02cc/2020-03-18
Rodpan,A., Joyjinda,Y., Wacharapluesadee,S., Buathong,R., Ghai,S., Petcharat,S., Bunprakob,S., Sirichan,N., Prasithsirikul,W., Mungaomklang,A., Plipat,T., Hemachudha,T.	1	unknown	unknown	unknown	MT447176/THA/SI206917-NT/2020-03-20
Panzera,Y., Delfraro,A., Ramos,N., Frabasile,S., Calleros,L., Techera,C., Grecco,S., Fuques,E., Goni,N., Coppola,L., Ramos,V., Chiparelli,H., Arbiza,J., Perez,R.	1	unknown	unknown	unknown	MT466071/URY/Mdeo-1/2020-03-13
Nickerson,D.A., Frazar,C.D., Lee,J., Pelle,B., Richardson,M., Adler,A., Brandstetter,E., Han,P.D., Fay,K., Ilcisin,M., Lacombe,K., Sibley,T.R., Truong,M., Wolf,C.R., Gautom,R., Melly,G., Hiatt,B., Dykema,P., Lindquist,S., Boeckh,M., Englund,J.A., Famulare,M., Lutz,B.R., Rieder,M.J., Starita,L.M., Thompson,M., Chu,H.Y., Shendure,J., Bedford,T.	2	unknown	unknown	unknown	MT632947/USA/WA-S542/2020-03-23,MT633004/USA/WA-S546/2020-03-23
De Prost,N., Fourati,S., Lamoureux,C., Schmitz,D., Deveaux,I., Picard,O., Lepeule,R., Surgers,L., Mekontso-Dessap,A., Woerther,P.-L., Canoui-Poitrine,F., Pawlotsky,J.-M., Clinical Study Group,C., Rodrigue,C., Gricourt,G., N'debi,M., Demontant,V., Trawinski,E.	1	unknown	unknown	unknown	MT470177/France/10070SK/2020-03-15
Seemann,T., Lane,C.R., Sherry,N.L., Duchene,S., Goncalves da Silva,A., Caly,L., Sait,M., Ballard,S.A., Horan,K., Schultz,M.B., Hoang,T., Easton,M., Dougal,S., Stinear,T.P., Druce,J., Catton,M., Sutton,B., van Diemen,A., Alpren,C., Williamson,D.A., Howden,B.P.	1	unknown	unknown	unknown	MT451640/AUS/VIC938/2020-03-25
Toptan,T., Hoehl,S., Berger,A., Rotter,B., Hoffmeier,K., Westhaus,S., Bojkova,D., Ciesek,S., Widera,M.	1	unknown	unknown	unknown	MT358639/DEU/FFM3/2020-02-20
Cusi,M.G., Pinzauti,D., Gandolfo,C., Anichini,G., Pozzi,G., Santoro,F.	1	unknown	unknown	unknown	MT531537/ITA/Siena-1/2020-03-01
Gao,Q., Bao,L., Mao,H., Wang,L., Xu,K., Yang,M., Li,Y., Zhu,L., Wang,N., Lv,Z., Gao,H., Ge,X., Kan,B., Hu,Y., Liu,J., Cai,F., Jiang,D., Yin,Y., Qin,C., Li,J., Gong,X., Lou,X., Shi,W., Wu,D., Zhang,H., Deng,W., Lu,J., Li,C., Wang,X., Yin,W., Zhang,Y., Sun,Y.	1	unknown	unknown	unknown	MT407659/CHN/OS4/2020-03-24
Fares,W., Triki,H.	1	unknown	unknown	unknown	MT499220/TUN/COV1482/2020-03-31
Tao,Y., Queen,K., Harrison,C., Rakeman,J., Paden,C.R., Zhang,J., Uehara,A., Li,Y., Wang,H., Padilla,J., Lee,J., Bankamp,B., Weiner,Z., Tong,S.	2	unknown	unknown	unknown	MT434808/USA/NY-CDC-SURV0982NYC/2020-03-19,MT434809/USA/NY-CDC-SURV0983NYC/2020-03-19